t theta theta1 theta2 omega omega1 omega2
2.030000 -13.7697 -12.4921 -0.915808 -3.26475 1.74424 0.680234
2.040000 -15.4733 -11.5317 -0.568016 -2.67749 1.6068 0.53306
2.050000 -16.8388 -10.6507 -0.304295 -2.0928 1.46938 0.388889
2.060000 -17.8777 -9.84635 -0.120462 -1.53987 1.33992 0.254559
2.070000 -18.6098 -9.11363 -0.0107146 -1.02054 1.21906 0.129989
2.080000 -19.0522 -8.44815 0.0298968 -0.52709 1.10481 0.0127446
2.090000 -19.2167 -7.84688 0.00470536 -0.0490603 0.994396 -0.100232
2.100000 -19.1092 -7.3085 -0.0847556 0.424732 0.884803 -0.212139
2.110000 -18.7286 -6.83343 -0.23882 0.906134 0.772819 -0.326315
2.120000 -18.0669 -6.42404 -0.459814 1.40833 0.654881 -0.446422
2.130000 -17.1078 -6.08491 -0.752321 1.94685 0.526836 -0.576708
2.140000 -15.8255 -5.8232 -1.12357 2.54026 0.383767 -0.722197
2.150000 -14.1825 -5.64903 -1.58384 3.20875 0.220414 -0.888284
2.160000 -12.132 -5.57506 -2.146 3.96237 0.034239 -1.07769
2.170000 -9.63358 -5.61209 -2.82121 4.75438 -0.162489 -1.27832
2.180000 -6.71587 -5.75308 -3.60278 5.37041 -0.314259 -1.43451
2.190000 -3.58634 -5.94479 -4.43752 5.43983 -0.325715 -1.44987
2.200000 -0.599671 -6.09628 -5.23384 4.91205 -0.184357 -1.31078
2.210000 1.99743 -6.1447 -5.92793 4.14178 0.0181248 -1.10906
2.220000 4.15007 -6.07671 -6.50577 3.38383 0.216018 -0.911085
2.230000 5.89076 -5.90149 -6.97621 2.70634 0.391791 -0.734825
2.240000 7.26593 -5.63177 -7.3518 2.10507 0.546639 -0.579281
2.250000 8.31382 -5.2781 -7.643 1.56057 0.68572 -0.439375
2.260000 9.06138 -4.84802 -7.85729 1.05371 0.814143 -0.310026
2.270000 9.52534 -4.34635 -7.99944 0.568147 0.936307 -0.186834
2.280000 9.71379 -3.77555 -8.07183 0.0897549 1.05605 -0.0659361
2.290000 9.62706 -3.13599 -8.07474 -0.394528 1.17692 0.0562753
2.300000 9.25809 -2.42601 -8.0064 -0.897661 1.30245 0.183415
2.310000 8.59227 -1.64192 -7.86291 -1.43296 1.43622 0.319232
2.320000 7.60748 -0.778012 -7.63823 -2.01292 1.58152 0.467337
2.330000 6.27589 0.172882 -7.32463 -2.64309 1.73975 0.629651
2.340000 4.57282 1.21706 -6.91482 -3.30174 1.90504 0.80123
2.350000 2.50449 2.35263 -6.40909 -3.89247 2.05208 0.957978
2.360000 0.165485 3.55469 -5.83016 -4.20486 2.12643 1.04597
2.370000 -2.22316 4.76596 -5.23352 -4.05358 2.08135 1.01637
2.380000 -4.40664 5.92129 -4.68429 -3.52575 1.94096 0.889764
2.390000 -6.23762 6.98395 -4.22072 -2.85878 1.76706 0.726481
2.400000 -7.68491 7.94717 -3.85132 -2.20059 1.59738 0.564794
2.410000 -8.76993 8.8174 -3.57085 -1.59666 1.44299 0.416748
2.420000 -9.52519 9.6036 -3.37105 -1.04816 1.30364 0.282831
2.430000 -9.97949 10.3135 -3.24458 -0.543922 1.17596 0.160216
2.440000 -10.1545 10.9527 -3.18592 -0.0713058 1.05631 0.045623
2.450000 -10.0651 11.5248 -3.19134 0.380998 0.941415 -0.0639139
2.460000 -9.71996 12.0318 -3.25868 0.822595 0.828481 -0.170918
2.470000 -9.12294 12.4741 -3.38712 1.26151 0.715108 -0.277474
2.480000 -8.27367 12.8508 -3.57687 1.70406 0.599327 -0.385177
2.490000 -7.16879 13.1602 -3.82889 2.15405 0.479793 -0.494882
2.500000 -5.80402 13.3999 -4.14426 2.61049 0.356355 -0.60609
2.510000 -4.17803 13.5682 -4.52314 3.06299 0.231262 -0.715726
2.520000 -2.29989 13.6658 -4.96272 3.48424 0.111167 -0.816231
2.530000 -0.200945 13.699 -5.45417 3.82333 0.00905416 -0.894028
2.540000 2.05266 13.683 -5.97952 4.01294 -0.0572817 -0.931769
2.550000 4.35919 13.6429 -6.51187 4.00387 -0.0739505 -0.917586
2.560000 6.60395 13.6078 -7.02164 3.80396 -0.0414411 -0.854875
2.570000 8.69295 13.6021 -7.48534 3.47202 0.0261185 -0.759988
2.580000 10.5704 13.6411 -7.88983 3.07534 0.111636 -0.650792
2.590000 12.2138 13.7311 -8.2307 2.6608 0.202768 -0.539364
2.600000 13.6207 13.8732 -8.50863 2.25251 0.292904 -0.431656
2.610000 14.798 14.066 -8.72646 1.85972 0.379315 -0.329716
2.620000 15.7551 14.307 -8.88758 1.48405 0.461342 -0.233624
2.630000 16.5015 14.5939 -8.99514 1.12372 0.539286 -0.142613
2.640000 17.0451 14.9244 -9.05177 0.775734 0.613827 -0.0556212
2.650000 17.3922 15.2968 -9.05944 0.436867 0.68575 0.0284622
2.660000 17.5469 15.7098 -9.01951 0.104101 0.755804 0.110688
2.670000 17.5121 16.1626 -8.93277 -0.225112 0.824624 0.191991
2.680000 17.2893 16.6546 -8.79953 -0.55262 0.892655 0.273133
2.690000 16.879 17.1854 -8.61971 -0.879229 0.960051 0.354628
2.700000 16.2821 17.7546 -8.39306 -1.20415 1.02652 0.436592
2.710000 15.5001 18.3614 -8.11942 -1.52411 1.09108 0.518522
2.720000 14.5378 19.0042 -7.79916 -1.83218 1.15179 0.598961
2.730000 13.4051 19.6799 -7.43387 -2.11644 1.2054 0.675121
2.740000 12.1204 20.3832 -7.02716 -2.35942 1.24728 0.742653
2.750000 10.7134 21.1059 -6.58557 -2.53963 1.27194 0.795949
2.760000 9.22611 21.8365 -6.11888 -2.63675 1.27445 0.829388
2.770000 7.71007 22.5616 -5.63967 -2.63921 1.2524 0.839322
2.780000 6.21947 23.2672 -5.16161 -2.54963 1.20716 0.825671
2.790000 4.80302 23.9413 -4.69738 -2.38374 1.14339 0.791858
2.800000 3.49826 24.575 -4.25704 -2.16359 1.06713 0.743213
2.810000 2.33002 25.1629 -3.84752 -1.91039 0.983943 0.685105
2.820000 1.31226 25.702 -3.47295 -1.64053 0.897929 0.62183
2.830000 0.45119 26.1918 -3.13538 -1.36486 0.811674 0.556334
2.840000 -0.251876 26.6324 -2.83551 -1.08974 0.726556 0.490407
2.850000 -0.798284 27.0247 -2.57331 -0.818354 0.643137 0.425008
2.860000 -1.19059 27.3697 -2.34831 -0.551923 0.56148 0.360553
2.870000 -1.4317 27.6684 -2.15994 -0.290491 0.481369 0.297137
2.880000 -1.52432 27.9215 -2.00763 -0.0334719 0.402438 0.234665
2.890000 -1.47073 28.1297 -1.89089 0.220023 0.324258 0.172958
2.900000 -1.27268 28.2931 -1.80933 0.470968 0.246388 0.111806
2.910000 -0.931354 28.412 -1.7627 0.720259 0.168414 0.0510229
2.920000 -0.447505 28.486 -1.75082 0.968565 0.0899819 -0.00950964
2.930000 0.178405 28.515 -1.77355 1.21614 0.0108463 -0.0697896
2.940000 0.945884 28.4983 -1.83071 1.46259 -0.0690687 -0.129624
2.950000 1.85393 28.4357 -1.92191 1.70647 -0.149573 -0.188532
2.960000 2.90031 28.3269 -2.04641 1.94484 -0.230076 -0.24562
2.970000 4.08054 28.1723 -2.20275 2.1726 -0.309414 -0.299434
2.980000 5.38643 27.9729 -2.3885 2.38194 -0.385663 -0.347823
2.990000 6.80446 27.7315 -2.59975 2.56197 -0.456024 -0.387908
3.000000 8.3141 27.4522 -2.83077 2.69936 -0.51692 -0.41629
3.010000 9.8869 27.1417 -3.0739 2.78031 -0.564486 -0.429631
3.020000 11.4872 26.8085 -3.31976 2.794 -0.595454 -0.425552
3.030000 13.0749 26.4628 -3.5581 2.73613 -0.608155 -0.4035
3.040000 14.6096 26.115 -3.77899 2.61057 -0.603065 -0.365046
